	Other
2DGE	2DGE
'5''RACE	5' RACE
'5''RACE'	5' RACE
5"RACE	5' RACE
5'RACE	5' RACE
5\'RACE	5' RACE
5\''RACE	5' RACE
ASO assay	Reporter assay
B-globin reporter assay	Reporter assay
Branched DNA probe assay	Branched DNA probe assay
ChIP	ChIP-seq
ChIP-seq	ChIP-seq
CLASH	CLASH/CLIP-seq
CLIP-seq	CLASH/CLIP-seq
Communoprecipitaion	CLASH/CLIP-seq
Degradome	CLASH/CLIP-seq
EGFP reporter assay	Reporter assay
ELISA	ELISA
EMSA	EMSA
FACS	Flow/FACS
flow	Flow/FACS
Flow	Flow/FACS
GFP reporter assay	Reporter assay
GUS reporter assay	Reporter assay
HITS-CLIP	CLASH/CLIP-seq
immunoblot	Western blot
Immunoblot	Western blot
immunocytochemistry	Immuno-based
Immunocytochemistry	Immuno-based
Immunofluorescence	Immuno-based
immunohistochemistry	Immuno-based
Immunohistochemistry	Immuno-based
immunoprecipitaion	CLASH/CLIP-seq
Immunoprecipitaion	CLASH/CLIP-seq
Immunoprecipitation	CLASH/CLIP-seq
in situ hybridization	In situ hybridization
In situ hybridization	In situ hybridization
intrarenal expression	Intrarenal expression
LacZ assay	Reporter assay
LacZ reporter assay	Reporter assay
luciferase assay	Reporter assay
Luciferase assay/RT-PCR	Reporter assay
'Luciferase reporter assay	Reporter assay
Luciferase reporter assay	Reporter assay
Luciferase reporter assay'	Reporter assay
Mass spectrometry	Proteomics
Microarray	Microarray
mRAP	mRAP
NGS	NGS
Northern blot	Northern blot
Nortern blot	Northern blot
Other	Other
phenotypic sensor assay	Phenotypic sensor assay
pMIR-REPORT	pMIR-REPORT
Proteomics	Proteomics
proteomics analysis	Proteomics
pSILAC	Proteomics
qRT-PCR	qRT-PCR
quantitative PCR	qRT-PCR
Quantitative proteomic approach	Proteomics
Real time PCR	qRT-PCR
Real time qRT-PCR	qRT-PCR
real-time RT-PCR	qRT-PCR
real-timeRT-PCR	qRT-PCR
Real time RT-PCR'	qRT-PCR
Real time RT-PCR	qRT-PCR
Reporter assay	Reporter assay
RNase mapping analysis	RNase mapping analysis
RTPCR	qRT-PCR
semi-qRT-PCR	qRT-PCR
Sequencing	NGS
Unknown	Other
Western blo	Western blot
Western blog	Western blot
western blot	Western blot
Western blot	Western blot
Western blot'	Western blot
Westren blot	Western blot
YFP reporter assay	Reporter assay
